A7N12S  	010	TUE	YKT	KLEMTU              	0600	1700	12-DAY ULTIMATE ALASKA & INSIDE PASSAGE                                        	20170731
A7N12S  	010	TUE	470	SCENIC CRUISING BELL	0000	0000	12-DAY ULTIMATE ALASKA & INSIDE PASSAGE                                        	20170731
A7N12S  	011	WED	AL4	ALERT BAY           	0600	1600	12-DAY ULTIMATE ALASKA & INSIDE PASSAGE                                        	20170731
A7N12S  	011	WED	462	SCENIC CRUISING JOHN	0000	0000	12-DAY ULTIMATE ALASKA & INSIDE PASSAGE                                        	20170731
A7N12S  	011	WED	466	TRANSIT THE SEYMOUR 	0000	0000	12-DAY ULTIMATE ALASKA & INSIDE PASSAGE                                        	20170731
A7N12S  	012	THU	YVR	VANCOUVER           	0700	0000	12-DAY ULTIMATE ALASKA & INSIDE PASSAGE                                        	20170731
A7N12S  	002	MON	KTN	KETCHIKAN           	0700	1500	12-DAY ULTIMATE ALASKA & INSIDE PASSAGE                                        	20170731
A7N12S  	002	MON	479	CRUISING CLARENCE ST	0000	0000	12-DAY ULTIMATE ALASKA & INSIDE PASSAGE                                        	20170731
A7N12S  	002	MON	480	TRANSIT SNOW PASS   	0000	0000	12-DAY ULTIMATE ALASKA & INSIDE PASSAGE                                        	20170731
A7N12S  	003	TUE	SIT	SITKA               	0800	1700	12-DAY ULTIMATE ALASKA & INSIDE PASSAGE                                        	20170731
A7N12S  	004	WED	IN2	INIAN ISLANDS       	0430	1030	12-DAY ULTIMATE ALASKA & INSIDE PASSAGE                                        	20170731
A7N12S  	004	WED	IS1	ICY STRAIT POINT    	1400	2000	12-DAY ULTIMATE ALASKA & INSIDE PASSAGE                                        	20170731
A7N12S  	005	THU	JNU	JUNEAU              	0700	2300	12-DAY ULTIMATE ALASKA & INSIDE PASSAGE                                        	20170731
A7N23F  	000	THU	YVR	VANCOUVER           	0000	1700	23-DAY ALASKA & AMERICA'S GOLD COAST                                           	20170731
A7N23F  	006	WED	477	SCENIC CRUISING TRAC	0800	1800	23-DAY ALASKA & AMERICA'S GOLD COAST                                           	20170731
A7N23F  	007	THU	467	TRANSIT DECISION PAS	0000	0000	23-DAY ALASKA & AMERICA'S GOLD COAST                                           	20170731
A7N23F  	007	THU	464	SCENIC CRUISING SUMN	0000	0000	23-DAY ALASKA & AMERICA'S GOLD COAST                                           	20170731
A7N23F  	007	THU	WRG	WRANGELL            	1000	1800	23-DAY ALASKA & AMERICA'S GOLD COAST                                           	20170731
A7N23F  	008	FRI	476	SCENIC CRUISING BEHM	0000	0000	23-DAY ALASKA & AMERICA'S GOLD COAST                                           	20170731
A7N23F  	008	FRI	456	SCENIC CRUISING MIST	0000	0000	23-DAY ALASKA & AMERICA'S GOLD COAST                                           	20170731
A7N23F  	008	FRI	RUD	RUDYERD BAY (MISTY F	0800	1800	23-DAY ALASKA & AMERICA'S GOLD COAST                                           	20170731
A7N23F  	009	SAT	YPR	PRINCE RUPERT       	0800	1800	23-DAY ALASKA & AMERICA'S GOLD COAST                                           	20170731
A7N23F  	009	SAT	457	SCENIC CRUISING GREN	0000	0000	23-DAY ALASKA & AMERICA'S GOLD COAST                                           	20170731
A7N23F  	009	SAT	463	SCENIC CRUISING PRIN	0000	0000	23-DAY ALASKA & AMERICA'S GOLD COAST                                           	20170731
A7N23F  	001	FRI	468	CRUISING THE QUEEN C	0000	0000	23-DAY ALASKA & AMERICA'S GOLD COAST                                           	20170731
A7N23F  	010	SUN	YKT	KLEMTU              	0600	1700	23-DAY ALASKA & AMERICA'S GOLD COAST                                           	20170731
A7N23F  	010	SUN	470	SCENIC CRUISING BELL	0000	0000	23-DAY ALASKA & AMERICA'S GOLD COAST                                           	20170731
A7N23F  	011	MON	AL4	ALERT BAY           	0600	1600	23-DAY ALASKA & AMERICA'S GOLD COAST                                           	20170731
A7N23F  	011	MON	462	SCENIC CRUISING JOHN	0000	0000	23-DAY ALASKA & AMERICA'S GOLD COAST                                           	20170731
A7N23F  	011	MON	466	TRANSIT THE SEYMOUR 	0000	0000	23-DAY ALASKA & AMERICA'S GOLD COAST                                           	20170731
A7N23F  	012	TUE	YVR	VANCOUVER           	0700	1700	23-DAY ALASKA & AMERICA'S GOLD COAST                                           	20170731
A7N23F  	013	WED	SEA	SEATTLE             	0800	0000	23-DAY ALASKA & AMERICA'S GOLD COAST                                           	20170731
A7N23F  	014	THU	SEA	SEATTLE             	0000	1200	23-DAY ALASKA & AMERICA'S GOLD COAST                                           	20170731
A7N23F  	015	FRI	387	SCENIC CRUISING COLU	0000	0000	23-DAY ALASKA & AMERICA'S GOLD COAST                                           	20170731
A7N23F  	015	FRI	PDX	PORTLAND            	1800	0000	23-DAY ALASKA & AMERICA'S GOLD COAST                                           	20170731
A7N23F  	002	SAT	KTN	KETCHIKAN           	0700	1500	23-DAY ALASKA & AMERICA'S GOLD COAST                                           	20170731
A7N23F  	016	SAT	PDX	PORTLAND            	0000	2359	23-DAY ALASKA & AMERICA'S GOLD COAST                                           	20170731
A7N23F  	017	SUN	***	AT SEA              	0000	0000	23-DAY ALASKA & AMERICA'S GOLD COAST                                           	20170731
A7N23F  	018	MON	***	AT SEA              	0000	0000	23-DAY ALASKA & AMERICA'S GOLD COAST                                           	20170731
A7N23F  	019	TUE	374	SCENIC CRUISING SAN 	0000	0000	23-DAY ALASKA & AMERICA'S GOLD COAST                                           	20170731
A7N23F  	019	TUE	SFO	SAN FRANCISCO       	1000	0000	23-DAY ALASKA & AMERICA'S GOLD COAST                                           	20170731
A7N23F  	020	WED	SFO	SAN FRANCISCO       	0000	2300	23-DAY ALASKA & AMERICA'S GOLD COAST                                           	20170731
A7N23F  	021	THU	MRY	MONTEREY            	0800	1600	23-DAY ALASKA & AMERICA'S GOLD COAST                                           	20170731
A7N23F  	022	FRI	SBA	SANTA BARBARA       	0800	1700	23-DAY ALASKA & AMERICA'S GOLD COAST                                           	20170731
A7N23F  	023	SAT	LAX	LOS ANGELES         	0700	0000	23-DAY ALASKA & AMERICA'S GOLD COAST                                           	20170731
A7N23F  	002	SAT	479	CRUISING CLARENCE ST	0000	0000	23-DAY ALASKA & AMERICA'S GOLD COAST                                           	20170731
A7N23F  	002	SAT	480	TRANSIT SNOW PASS   	0000	0000	23-DAY ALASKA & AMERICA'S GOLD COAST                                           	20170731
A7N23F  	003	SUN	SIT	SITKA               	0800	1700	23-DAY ALASKA & AMERICA'S GOLD COAST                                           	20170731
A7N23F  	004	MON	IN2	INIAN ISLANDS       	0430	1030	23-DAY ALASKA & AMERICA'S GOLD COAST                                           	20170731
A7N23F  	004	MON	IS1	ICY STRAIT POINT    	1400	2000	23-DAY ALASKA & AMERICA'S GOLD COAST                                           	20170731
A7N23F  	005	TUE	JNU	JUNEAU              	0700	2300	23-DAY ALASKA & AMERICA'S GOLD COAST                                           	20170731
A7N25S  	000	FRI	YVR	VANCOUVER           	0000	1700	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25S  	004	TUE	467	TRANSIT DECISION PAS	0000	0000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25S  	005	WED	SIT	SITKA               	0800	1700	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25S  	006	THU	HNS	HAINES              	0900	2000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25S  	007	FRI	477	SCENIC CRUISING TRAC	0800	1800	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25S  	008	SAT	JNU	JUNEAU              	0800	2300	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25S  	009	SUN	GB1	GLACIER BAY         	0700	1700	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25S  	010	MON	***	AT SEA              	0000	0000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25S  	011	TUE	SEW	SEWARD              	0700	2000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25S  	011	TUE	483	SCENIC CRUISING RESU	0000	0000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25S  	012	WED	482	SCENIC CRUISING HOLG	0700	1100	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
A7N25S  	000	FRI	466	TRANSIT THE SEYMOUR 	0000	0000	25-DAY EXPLORATION OF THE LAST FRONTIER                                        	20170731
