A7E07S  	005	FRI	KTN	KETCHIKAN           	0700	1300	7-DAY ROUNDTRIP SEATTLE                                                        	20170731
A7E07S  	006	SAT	YYJ	VICTORIA, CANADA    	1800	2359	7-DAY ROUNDTRIP SEATTLE                                                        	20170731
A7E07Y  	000	SUN	SEA	SEATTLE             	0000	1600	7-DAY ROUNDTRIP SEATTLE                                                        	20170731
A7E07Y  	007	SUN	SEA	SEATTLE             	0700	0000	7-DAY ROUNDTRIP SEATTLE                                                        	20170731
A7E07Y  	000	SUN	271	PUGET SOUND (CRUISIN	0000	0000	7-DAY ROUNDTRIP SEATTLE                                                        	20170731
A7E07Y  	001	MON	***	AT SEA              	0000	0000	7-DAY ROUNDTRIP SEATTLE                                                        	20170731
A7E07Y  	002	TUE	272	SCENIC CRUISING STEP	0000	0000	7-DAY ROUNDTRIP SEATTLE                                                        	20170731
A7E07Y  	002	TUE	JNU	JUNEAU              	1300	2100	7-DAY ROUNDTRIP SEATTLE                                                        	20170731
A7E07Y  	003	WED	HUB	HUBBARD GLACIER     	1400	1800	7-DAY ROUNDTRIP SEATTLE                                                        	20170731
A7E07Y  	004	THU	SIT	SITKA               	0800	1600	7-DAY ROUNDTRIP SEATTLE                                                        	20170731
A7E07Y  	005	FRI	KTN	KETCHIKAN           	0700	1300	7-DAY ROUNDTRIP SEATTLE                                                        	20170731
A7E07Y  	006	SAT	YYJ	VICTORIA, CANADA    	1800	2359	7-DAY ROUNDTRIP SEATTLE                                                        	20170731
A7ES07  	000	SAT	SEA	SEATTLE             	0000	1600	7-DAY ROUNDTRIP SEATTLE                                                        	20170731
A7ES07  	001	SUN	***	AT SEA              	0000	0000	7-DAY ROUNDTRIP SEATTLE                                                        	20170731
A7ES07  	002	MON	JNU	JUNEAU              	1300	2200	7-DAY ROUNDTRIP SEATTLE                                                        	20170731
A7ES07  	003	TUE	GB1	GLACIER BAY         	0700	1600	7-DAY ROUNDTRIP SEATTLE                                                        	20170731
A7ES07  	004	WED	SIT	SITKA               	0700	1530	7-DAY ROUNDTRIP SEATTLE                                                        	20170731
A7ES07  	005	THU	KTN	KETCHIKAN           	0700	1300	7-DAY ROUNDTRIP SEATTLE                                                        	20170731
A7ES07  	006	FRI	YYJ	VICTORIA, CANADA    	1800	2359	7-DAY ROUNDTRIP SEATTLE                                                        	20170731
A7ES07  	007	SAT	SEA	SEATTLE             	0700	0000	7-DAY ROUNDTRIP SEATTLE                                                        	20170731
A7G07X  	000	SUN	YVR	VANCOUVER           	0000	1630	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A7G07X  	001	MON	270	SCENIC CRUISING THE 	0000	0000	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A7G07X  	002	TUE	JNU	JUNEAU              	1300	2200	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A7G07X  	003	WED	SGY	SKAGWAY             	0700	2100	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A7G07X  	004	THU	GB1	GLACIER BAY         	0700	1600	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A7G07X  	005	FRI	KTN	KETCHIKAN           	1000	1800	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A7G07X  	006	SAT	270	SCENIC CRUISING THE 	0000	0000	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A7G07X  	007	SUN	YVR	VANCOUVER           	0700	0000	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
A7G07Z  	000	SAT	YVR	VANCOUVER           	0000	1630	7-DAY ROUNDTRIP VANCOUVER                                                      	20170731
